sid,sentence,label
0," Government also performs the important job of protecting common goods : goods that all people may use free of charge but that are of limited supply , such as fish in the sea or clean drinking water .
",1
1,"The second feature is the existence of sharp peaks in the spectrum ; these are called characteristic x rays , since they are characteristic of the anode material .
",1
2,"Allen Schick .
",0
3,"Yet , not all bureaucracies are alike .
",0
4,"Approximately 75 percent of recently emerging infectious diseases affecting humans are zoonotic diseases , zoonoses , diseases that primarily infect animals and are transmitted to humans ; some are of viral origin and some are of bacterial origin .
",1
5," Positive polarity means that the genomic RNA can serve directly as mRNA .
",1
6," Although marked by great topographic , linguistic , and cultural diversity , this region cradled a number of civilizations with similar characteristics .
",0
7," The rRNA ensures the proper alignment of the mRNA and the ribosomes ; the rRNA of the ribosome also has an enzymatic activity ( peptidyl transferase ) and catalyzes the formation of the peptide bonds between two aligned amino acids .
",1
8,"The word “ displacement ” implies that an object has moved , or has been displaced .
",0
9," Plants can tell the time of day and time of year by sensing and using various wavelengths of sunlight .
",0
10,"Finally , affirmative action consists of government programs and policies designed to benefit members of groups historically subject to discrimination .
",0
11,"During the Asian Financial Crisis in the late 1990s , countries that grew dramatically in the years leading up to the crisis as international capital flowed in , saw their economies collapse when the capital very quickly flowed out .
",0
12,"In turn , the rising impact of foreign trade in the U.S. economy has opened up greater opportunities for high - skilled workers to sell their services around the world .
",0
13," Torpor is a process that leads to a decrease in activity and metabolism and allows animals to survive adverse conditions .
",1
14,"Rather , the act was a straightforward order of economic protectionism for a British tea firm , the East India Company , that was on the verge of bankruptcy .
",0
15,"Remember that in the neoclassical model of the economy , the aggregate supply curve is drawn as a vertical line at the level of potential GDP , as shown in [ link ] .
",0
16,"Together , the calyx and corolla are known as the perianth .
",1
17," As the Gilded Age unfolded , presidents had very little power , due in large part to highly contested elections in which relative popular majorities were razor - thin .
",0
18," Direct action also took such forms as the sit - in campaigns to desegregate lunch counters that began in Greensboro , North Carolina , in 1960 , and the 1961 Freedom Rides in which black and white volunteers rode buses and trains through the South to enforce a 1946 Supreme Court decision that desegregated interstate transportation ( Morgan v. Virginia ) .
",1
19,"An example is when a dog bares its teeth when it wants another dog to back down .
",0
20,"The bottom is labeled “ Percent IQ Correlation ” and the left side is labeled “ Relationship . ”
",0
21,"Not only did the act outlaw government discrimination and the unequal application of voting qualifications by race , but it also , for the first time , outlawed segregation and other forms of discrimination by most businesses that were open to the public , including hotels , theaters , and restaurants that were not private clubs .
",1
22,"Several states therefore had to make dramatic changes to their electoral maps during the next two redistricting cycles ( 1970 – 1972 and 1980 – 1982 ) .
",0
23," Donald B. Verrilli Jr. ( b ) was the forty - sixth solicitor general of the United States , starting his term of office in June 2011 when Elena Kagan left the post to join the Supreme Court .
",0
24,"At least 40 types of cytokines exist in humans that differ in terms of the cell type that produces them , the cell type that responds to them , and the changes they produce .
",0
25,"Scarcity means that human wants for goods , services and resources exceed what is available .
",1
26,"In 1967 , the Supreme Court struck down a Virginia law that prohibited interracial marriage in Loving v. Virginia . Loving v. Virginia , 388 U.S. 1 ( 1967 ) .
",0
27," An example from the market for gasoline can be shown in the form of a table or a graph .
",0
28,"As you have learned , all societies have informal and formal ways of maintaining social control .
",0
29," 2005 .
",0
30," Thus , from the very beginning of its history , the United States has had a system of government dominated by two different philosophies .
",0
31," The judiciary today continues as a dual court system , with courts at both the national and state levels .
",0
32," This pattern of tracing kinship is called bilateral descent .
",0
33," In 2014 , the Supreme Court decided not to hear several key case appeals from a variety of states , all of which were brought by opponents of marriage equality who had lost in the federal courts .
",0
34,"This discovery led to the minimal effects theory , which argues the media have little effect on citizens and voters .
",1
35," These ideas become part of the citizens ’ frame of reference and affect their decisions .
",0
36,"Phototrophs ( or phototrophic organisms ) obtain their energy from sunlight .
",1
37,"Public Papers of the Presidents of the United States : Eisenhower , Dwight D. , The American Presidency Project .
",0
38," In a council - manager system of government , either the members of the city council are elected by voters along with a mayor who presides over the council , or the voters elect members of the city council and the mayor is chosen from among them .
",1
39,"Kirchhoff ’s rules , special applications of the laws of conservation of charge and energy , can be used to analyze it .
",0
40,"Taste buds have a life cycle of ten days to two weeks , so even destroying some by burning your tongue wo n’t have any long - term effect ; they just grow right back .
",0
41," Infants are also often victims of physical abuse , particularly in the form of violent shaking .
",0
42,"An ecosystem consists of all the living things in a particular area together with the abiotic , non - living parts of that environment such as nitrogen in the soil or rain water .
",1
43," Despite the Constitution ’s broad grants of state authority , one of the central goals of the Anti - Federalists , a group opposed to several components of the Constitution , was to preserve state government authority , protect the small states , and keep government power concentrated in the hands of the people .
",0
44," The twin disasters of the Great Depression in the 1930s and World War II , which lasted until the mid-1940s , provided President Franklin D. Roosevelt with a powerful platform from which to expand presidential power .
",0
45,"Instead of approaching development from a psychoanalytical or psychosocial perspective , Piaget focused on children ’s cognitive growth .
",0
46,"The pictorial representation of magnetic field lines is very useful in visualizing the strength and direction of the magnetic field .
",0
47," Indeed , England could not commit to large - scale colonization in the Americas as long as Spain appeared ready to invade Ireland or Scotland .
",0
48," ( See [ link ] . )
",0
49," During this period , the Supreme Court ’s decisions regarding the meaning of the Second Amendment were ambiguous at best .
",0
50,"Both Parazoa and Eumetazoa evolved from a common ancestral organism that resembles the modern - day protists called choanoflagellates .
",0
51," Cytokine Release Effect
",0
52,"This calculation allows for measuring the distribution of income among the five groups compared to the total .
",0
53," The election of Ronald Reagan heralded the advent of a “ devolution revolution ” in U.S. federalism , in which the president pledged to return authority to the states according to the Constitution .
",0
54," Before 1933 , most first ladies served as private political advisers to their husbands .
",0
55,"Generally speaking , urban land use and urban population distribution occur in a predictable pattern once we understand how people relate to their living environment .
",0
56," The first of these is the Milankovitch cycles .
",0
57,"Inversion involves the soles of the feet moving inward , toward the midline of the body .
",1
58," ( The axis is defined to be a line normal to the lens at its center , as shown in [ link ] . )
",0
59,"Two of the nuclei — the polar nuclei — move to the equator and fuse , forming a single , diploid central cell .
",0
60,"Chemotrophs ( or chemosynthetic organisms ) obtain their energy from chemical compounds .
",1
61,"These decisions may work out well or poorly , but they are not always irrational .
",0
62,"In Stage 1 , birth , death , and infant mortality rates are all high , while life expectancy is short .
",0
63," Through their own constitutions and statutes , states decide what to require of local jurisdictions and what to delegate .
",1
64," Although single women were allowed to own property , married women were not .
",0
65,"When an organism receives a reinforcer each time it displays a behavior , it is called continuous reinforcement .
",1
66,"Why do people help other people ?
",0
67," When a vacancy occurs in a lower federal court , by custom , the president consults with that state ’s U.S. senators before making a nomination .
",1
68,"Distinguishing between commerce among states and the production of goods , the court argued that the national government ’s regulatory authority applied only to commercial activities .
",0
69,"Ecosystems can be small , such as the tide pools found near the rocky shores of many oceans , or large , such as the Amazon Rainforest in Brazil ( [ link ] ) .
",0
70,"The new programs included Medicare and Medicaid , which are health insurance programs for seniors and low - income citizens respectively , and the food stamp program , which provides food assistance to low - income families .
",1
71,"Flower structure is very diverse , and carpels may be singular , multiple , or fused .
",0
72," For example , food , clothing , and housing are provided in ample supply by private businesses that earn a profit in return .
",1
73,"This anecdote reveals that both sex and gender are actually socially defined variables whose definitions change over time .
",0
74,"H. Ross Perot , a 1992 candidate for U.S. president , claimed , in prominent campaign arguments , that if the United States expanded trade with Mexico , there would be a “ giant sucking sound ” as U.S. employers relocated to Mexico to take advantage of lower wages .
",0
75,"Note that kinship , or one ’s traceable ancestry , can be based on blood or marriage or adoption .
",1
76,"One of the earliest undisputed reptiles was Hylonomus .
",0
77," Redistribution means taking income from those with higher incomes and providing income to those with lower incomes .
",1
78,"Friction , for example , creates thermal energy that dissipates , removing energy from the system .
",0
79," A characteristic like cleft chin , for example , is influenced by a single gene from each parent .
",0
80,"It pictures the economy as consisting of two groups — households and firms — that interact in two markets : the goods and services market in which firms sell and households buy and the labor market in which households sell labor to business firms or other employees .
",1
81,"Because everyone can use these goods , they must be protected so a few people do not take everything that is available and leave others with nothing .
",0
